API,category,content,publishedAt,rank,title,url,metarank
CurrentsAPI,business,,2021-01-02 21:30:14 +0000,12,Maryland closes waterway to shellfish harvest in St. Mary’s,https://m.washingtontimes.com/news/2021/jan/2/maryland-closes-waterway-to-shellfish-harvest-in-s/,51
CurrentsAPI,technology,,2021-01-02 21:53:10 +0000,12,"Microsoft, SolarWinds Face New Criticism Over Russian Breach of US Networks  (msn.com)",https://yro.slashdot.org/story/21/01/02/2038235/microsoft-solarwinds-face-new-criticism-over-russian-breach-of-us-networks,52
NewsAPI,business,,2021-01-03T00:02:59Z,13,Vaccinations still lagging as U.S. COVID-19 cases surpass 20 million - CBS Evening News,https://www.youtube.com/watch?v=IURjcn2osi4,53
NewsAPI,technology,"Now that the giant Home Max smart speaker has been discontinued, Google suggests those interested should instead pick up a pair of its new Nest Audio speakers. If you were looking for a deal on those… [+964 chars]",2021-01-03T00:30:00Z,13,Get a Google Nest Audio 2-pack for $150 ($48 off) - Android Police,https://www.androidpolice.com/2021/01/02/get-a-google-nest-audio-2-pack-for-150-48-off/,54
CurrentsAPI,business,,2021-01-02 21:28:55 +0000,13,"US Closes Key Money-laundering, Tax Evasion Path",https://www.voanews.com/usa/us-closes-key-money-laundering-tax-evasion-path,55
CurrentsAPI,technology,,2021-01-02 21:50:15 +0000,13,SolarWinds hack may be much worse than originally feared,https://www.theverge.com/2021/1/2/22210667/solarwinds-hack-worse-government-microsoft-cybersecurity,56
NewsAPI,business,"MANCHESTER, N.H. —Blake's Restaurant and Ice Cream is a Manchester institution.
Its history dates back to 1900.
Everyone seems to have a Blake's story. I had my dance recital party there afterwards… [+1208 chars]",2021-01-03T00:00:00Z,14,Blake's closes restaurant on Hooksett Road in Manchester; other location remains open - WMUR Manchester,https://www.wmur.com/article/blakes-closes-restaurant-on-hooksett-road-in-manchester-other-location-remains-open/35111164,57
NewsAPI,technology,"SpongeBob SquarePants: Battle for Bikini Bottom was released in 2003, and even though critic reviews were mixed, the game gained enough of a cult following to receive a remake last year. The 'Rehydra… [+1175 chars]",2021-01-02T23:48:00Z,14,SpongeBob SquarePants: Battle for Bikini Bottom Rehydrated is coming to Android - Android Police,https://www.androidpolice.com/2021/01/02/spongebob-squarepants-battle-for-bikini-bottom-rehydrated-is-coming-to-android/,58
CurrentsAPI,business,,2021-01-02 21:27:20 +0000,14,#NYCtech Week in Review: 12/27/20-1/2/21 - AlleyWatch,https://www.alleywatch.com/2021/01/nyctech-week-in-review-12-27-20-1-2-21/,59
CurrentsAPI,technology,,2021-01-02 21:47:57 +0000,14,Will 2021 See AI Grow Into The Crypto Landscape? - DZone AI,https://dzone.com/articles/will-2021-see-ai-grow-into-the-crypto-landscape,60
NewsAPI,business,"SACRAMENTO, Calif. —The Greater Sacramento regions stay-at-home order was officially extended on Saturday, state health officials announced. 
""The Greater Sacramento Region remains under the order b… [+2017 chars]",2021-01-02T23:13:00Z,15,Stay-at-home order for Greater Sacramento region extended - KCRA Sacramento,https://www.kcra.com/article/stay-at-home-order-greater-sacramento-region-extended/35109168,61
CurrentsAPI,business,,2021-01-02 21:02:46 +0000,15,Arizona increases minimum wage to $12.15 an hour,https://m.washingtontimes.com/news/2021/jan/2/arizona-increases-minimum-wage-to-1215-an-hour/,62
CurrentsAPI,technology,,2021-01-02 21:25:18 +0000,15,"Facebook says there were 1.4B+ voice and video calls on WhatsApp on NYE 2020 globally, up 50%+ YoY, and 55M+ live streams across Facebook and Instagram",https://www.techmeme.com/210102/p7,63
NewsAPI,business,"If you have the will and a lot of extra garage space on standby for a large incursion of New Old Stock auto parts, this is a steal. All Classic Motors, located in tiny Velva, North Dakota apparently … [+2120 chars]",2021-01-02T22:42:59Z,16,There's a Warehouse Full of $2M in New Old Stock Classic Ford Parts for Sale on eBay - The Drive,https://www.thedrive.com/news/38517/theres-a-warehouse-full-of-2m-in-new-old-stock-classic-ford-parts-for-sale-on-ebay,64
NewsAPI,technology,"After having successfully demonstrated the efficacy of a multi-chip module design (MCM) on the CPU side, AMD may very well look forward to repeat the success on the GPU side of the equation as well. … [+2968 chars]",2021-01-02T23:33:25Z,16,"Patent shows future AMD RDNA-based GPUs could leverage multi-chip modules a la Intel Xe HP Arctic Sound and NVIDIA Hopper, but RDNA 3 will likely be monolithic - Notebookcheck.net",https://www.notebookcheck.net/Patent-shows-future-AMD-RDNA-based-GPUs-could-leverage-multi-chip-modules-a-la-Intel-Xe-HP-Arctic-Sound-and-NVIDIA-Hopper-but-RDNA-3-will-likely-be-monolithic.512845.0.html,65
CurrentsAPI,business,,2021-01-02 21:00:00 +0000,16,Techniques to start meditating to focus,https://www.entrepreneur.com/article/362431,66
CurrentsAPI,technology,,2021-01-02 21:19:58 +0000,16,HP ENVY x360 15z-ee000 Laptop is On Sale At Newegg,https://wccftech.com/hp-envy-x360-15z-ee000-laptop-is-on-sale-at-newegg/,67
NewsAPI,business,"The location of the hacking itself may have played a role as well. Investigators are determining whether or not the hack breached SolarWinds’ offices in eastern European countries like Belarus, the C… [+990 chars]",2021-01-02T22:10:01Z,17,SolarWinds hack may have been much wider than first thought - Engadget,https://www.engadget.com/russia-solarwinds-hack-broader-than-expected-211046098.html,68
NewsAPI,technology,"The University of Hawaii football team’s top playmaker — Calvin Turner — will return to the Rainbow Warriors for the 2021 season.
Turner announced his decision to remain at UH on Twitter.
Turner tr… [+1062 chars]",2021-01-02T23:28:32Z,17,"Hawaii football team’s top playmaker, Calvin Turner, says he’ll return for the 2021 season - Honolulu Star-Advertiser",https://www.staradvertiser.com/2021/01/02/sports/sports-breaking/hawaii-football-teams-top-playmaker-calvin-turner-says-hell-return-for-the-2021-season/,69
CurrentsAPI,business,,2021-01-02 20:58:16 +0000,17,"Following in Stacey Abrams's footsteps, these Spelman College students are rallying young people to vote in Georgia Senate runoffs",https://www.businessinsider.com/following-stacey-abrams-spelman-students-ask-their-peers-to-vote-2021-1,70
CurrentsAPI,technology,,2021-01-02 21:10:19 +0000,17,Daily Deals: Dell Inspiron Laptops on Sale at Best Buy,https://www.ign.com/articles/daily-deals-dell-inspiron-laptops-on-sale-at-best-buy,71
NewsAPI,business,,2021-01-02T22:02:12Z,18,Woman found dead outside apartment building - WPXI Pittsburgh,https://www.wpxi.com/news/top-stories/woman-found-dead-outside-apartment-building/TDWRU7FVEFEVFBCQHD6ZVT5V7I/,72
NewsAPI,technology,"The Internal Revenue Service claims the executors of Prince's estate have lowballed its value by 50%, or about $80 million, triggering a dispute that could prolong the late musician's already tortuou… [+6691 chars]",2021-01-02T22:33:19Z,18,"IRS says Prince's estate undervalued by 50%, triggering another dispute in settlement - Minneapolis Star Tribune",https://www.startribune.com/irs-says-prince-s-estate-undervalued-by-50-triggering-another-dispute-in-settlement/600006126/,73
CurrentsAPI,business,,2021-01-02 20:47:58 +0000,18,iShares Edge MSCI Min. Vol. EAFE ETF: Fasten Your Seatbelt,https://seekingalpha.com/article/4396996-ishares-edge-msci-min-vol-eafe-etf-fasten-your-seatbelt?source=feed_tag_etf_portfolio_strategy,74
CurrentsAPI,technology,,2021-01-02 20:40:14 +0000,18,Wine 6.0-RC5 Released With 21 Bug Fixes,https://www.phoronix.com/scan.php?page=news_item&px=Wine-6.0-RC5-Released,75
NewsAPI,business,"HARRISBURG, Pa. (WHTM) — As of Monday, Jan. 4 restaurants may once again open at 50 percent capacity for indoor dining if they’ve completed the online self-certification process. 
Self-certifying is… [+1583 chars]",2021-01-02T21:54:00Z,19,"Restaurants open for dine-in Monday, must self-certify online before opening their doors - ABC27",https://www.abc27.com/news/health/coronavirus/restaurants-open-for-dine-in-monday-must-self-certify-online-before-opening-their-doors/,76
NewsAPI,technology,"OnePlus used to be known for speedy Android updates, but those days have long since passed. While Samsung has already started updating mostofitsrecentflagships to Android 11, the same update has only… [+907 chars]",2021-01-02T22:02:00Z,19,OnePlus 7/7T series and Nord are next in line for OxygenOS 11 - Android Police,https://www.androidpolice.com/2021/01/02/oneplus-7-7t-series-and-nord-are-next-in-line-for-oxygenos-11/,77
CurrentsAPI,business,,2021-01-02 20:30:00 +0000,19,"Bitcoin rallies above $30,000 for first time after advancing over 300% in 2020",https://www.cnbc.com/2021/01/02/bitcoin-rallies-above-30000-for-first-time-after-advancing-over-300percent-in-2020.html,78
CurrentsAPI,technology,,2021-01-02 20:02:30 +0000,19,How to Watch the Quadrantid Meteor Shower Tonight | Digital Trends,https://www.digitaltrends.com/news/quadrantid-meteor-shower-how-to-watch/,79
NewsAPI,business,"MONTERREY, Mexico (Reuters) - Mexicos main agricultural lobby on Saturday criticized the governments decision to ban genetically modified corn, while organic growers hailed the move that should prote… [+2090 chars]",2021-01-02T21:17:00Z,20,Mexico farm lobby blasts ban on GMO corn; organic growers welcome it - Reuters,https://www.reuters.com/article/us-mexico-corn-gmo-idUSKBN2970MF,80
NewsAPI,technology,"When the first Porsche 911 was introduced back in 1975, car culture changed. The 911 became a fan favorite for everything from competitive racing to a sporty daily driver, and people are still in lov… [+1962 chars]",2021-01-02T22:00:00Z,20,Watch Every Porsche 911 Turbo Generation Go Head-To-Head In A Drag Race - Jalopnik,https://jalopnik.com/watch-every-porsche-911-turbo-generation-go-head-to-hea-1845978115,81
CurrentsAPI,business,,2021-01-02 20:29:55 +0000,20,We compared our bodies to Barbie. Here's what the doll would look like in real life.,https://www.businessinsider.com/barbie-ken-dolls-would-look-like-real-life-unrealistic-body-2019-6,82
CurrentsAPI,technology,,2021-01-02 20:00:03 +0000,20,Dive into the lore of World of Warcraft by reading through the novels,https://www.windowscentral.com/list-all-world-warcraft-books-and-order-read-them,83
NewsAPI,business,"A record quarter for Tesla isnt as speedy as it seems.
Tesla announced on Saturday morning that it delivered 180,570 cars world-wide in the fourth quarter, setting a new company record. That brings … [+1141 chars]",2021-01-02T21:16:00Z,21,Cleared Hurdle Still Leaves Tesla Stock in Ludicrous Mode - The Wall Street Journal,https://www.wsj.com/articles/cleared-hurdle-still-leaves-tesla-stock-in-ludicrous-mode-11609622182,84
NewsAPI,technology,Two key figures from Monster Hunter Rise stated that they will share new details on the series in January 2021. The news comes from a video uploaded to Capcom’s official Twitter account for Monster H… [+1350 chars],2021-01-02T22:00:00Z,21,Monster Hunter Rise Devs Will Share New Info in Early January - Siliconera,https://www.siliconera.com/monster-hunter-rise-devs-will-share-new-info-in-early-january/,85
CurrentsAPI,business,,2021-01-02 20:28:40 +0000,21,I ate nothing but 'healthy' fast food for a week — here’s what happened,https://www.businessinsider.com/ate-healthy-fast-food-week-calories-sodium-2018-5,86
CurrentsAPI,technology,,2021-01-02 20:00:00 +0000,21,This Week In Techdirt History: December 27th - January 2nd,http://feedproxy.google.com/~r/techdirt/feed/~3/gdAnlxqxa9U/this-week-techdirt-history-december-27th-january-2nd.shtml,87
